Family	CName	SName	Status04	Range	Mass	Clutch	ElevRange
Phasianidae	Tibetan_Eared-pheasant	Crossoptilon_harmani	2_(NT)	873775	2062.5	9	1600
Phasianidae	Brown_Eared-Pheasant	Crossoptilon_mantchuricum	3_(VU)	51688	2050	9	1200
Phasianidae	Montezuma_Quail	Cyrtonyx_montezumae	1_(LC)	653213	195	11.1	1940
Phasianidae	Ocellated_Quail	Cyrtonyx_ocellatus	2_(NT)	139799	218	NA	2300
Phasianidae	Singing_Quail	Dactylortyx_thoracicus	1_(LC)	347058	223	5	2000
Tetraonidae	Spruce_Grouse	Dendragapus_canadensis	1_(LC)	7670606	492	5.5	2439
Tetraonidae	Siberian_Grouse	Dendragapus_fa1_(LC)ipennis	2_(NT)	1459610	600	8	NA
Tetraonidae	Blue_Grouse	Dendragapus_obscurus	1_(LC)	2119114	1188	7	3600
Phasianidae	Bearded_Wood-partridge	Dendrortyx_barbatus	3_(VU)	42680	432	NA	1000
Phasianidae	Buffy-crowned_Wood-partridge	Dendrortyx_leucophrys	1_(LC)	117758	350	4.5	2600
Phasianidae	Long-tailed_Wood-partridge	Dendrortyx_macroura	1_(LC)	204285	431	4	1800
Megapodiidae	Moluccan_Megapode	Eulipoa_wallacei	3_(VU)	39585	498.8	NA	1250
Phasianidae	Red-billed_Francolin	Francolinus_adspersus	1_(LC)	1066927	465	7	NA
Phasianidae	Red-necked_Spurfowl	Francolinus_afer	1_(LC)	5625374	693.5	6	NA
Phasianidae	Grey-winged_Francolin	Francolinus_africanus	1_(LC)	640220	423	5	950
Phasianidae	Ahanta_Francolin	Francolinus_ahantensis	1_(LC)	426778	608	5	NA
Phasianidae	White-throated_Francolin	Francolinus_albogularis	1_(LC)	1705058	276	6	NA
Phasianidae	Double-spurred_Francolin	Francolinus_bica1_(LC)aratus	1_(LC)	3903458	507	6	NA
Phasianidae	Mount_Cameroon_Francolin	Francolinus_camerunensis	4_(EN)	15500	593	NA	1250
Phasianidae	Cape_Francolin	Francolinus_capensis	1_(LC)	298889	757.5	7.4	NA
Phasianidae	Chestnut-naped_Francolin	Francolinus_castaneicollis	1_(LC)	464680	1057.5	5.5	2800
Phasianidae	Clapperton's_Francolin	Francolinus_clappertoni	1_(LC)	3467045	604	NA	2300
Phasianidae	Coqui_Francolin	Francolinus_coqui	1_(LC)	4512215	262	4.5	2200
Phasianidae	Erckel's_Francolin	Francolinus_erckelii	1_(LC)	250575	1350	7	1500
Phasianidae	Finsch's_Francolin	Francolinus_finschi	1_(LC)	227965	560	5	600
Phasianidae	Black_Francolin	Francolinus_francolinus	1_(LC)	3153904	482	9.5	2500
Phasianidae	Grey-striped_Francolin	Francolinus_griseostriatus	3_(VU)	64365	410	NA	400
Phasianidae	Swamp_Francolin	Francolinus_gularis	3_(VU)	545029	510	3.5	300
Phasianidae	Hartlaub's_Francolin	Francolinus_hartlaubi	1_(LC)	426996	267.5	6	NA
Phasianidae	Harwood's_Francolin	Francolinus_harwoodi	3_(VU)	55283	545	5.5	NA
Phasianidae	Hildebrandt's_Francolin	Francolinus_hildebrandti	1_(LC)	1226425	622.5	6	500
Phasianidae	Heuglin's_Francolin	Francolinus_icterorhynchus	1_(LC)	1981927	571	7	900
Phasianidae	Jackson's_Francolin	Francolinus_jacksoni	1_(LC)	109880	1147	3	1500
Phasianidae	Forest_Francolin	Francolinus_lathami	1_(LC)	3061582	269	2	1400
Phasianidae	Red-winged_Francolin	Francolinus_levaillantii	1_(LC)	1085846	463	5	1200
