StudentID	Tarsus	Leg	BillWidth	GroupN	HandedNess
jw120595	16.9	right	6.6	E	R
JW120595	16.9	right	6.3	E	R
JW120595	16.9	right	6.6	E	R
JW120595	16.9	right	6.3	E	R
KB0402	16.1	right	6.1	E	R
KB0402	15.7	right	6.2	E	R
KB0402	16.1	right	6.1	E	R
KB0402	15.7	right	6.2	E	R
KH0906	19.6	left	7.3	F	R
KH0906	18.6	right	7.6	F	R
KH0906	21.6	right	7	F	R
KH0906	21.4	left	7.7	F	R
KI1604	21.6	right	6.1	F	R
KI1604	21.5	right	6.5	F	R
KI1604	21.8	right	6	F	R
KJF3110	17.7	left	6.7	F	R
KJF3110	19.2	left	6.7	F	R
KT2804	18.9	right	6.2	E	R
KT2804	18.8	left	6	E	R
KT2804	18.3	left	6.2	E	R
KT2804	18.9	right	6.2	E	R
KV1303	21.5	left	9	F	R
KV1303	19.5	left	8	F	R
KW1102	18.8	left	6.5	F	R
KW1102	19.1	left	6.4	F	R
LF1201	18.4	right	7	E	R
LF1201	15.9	left	7.1	E	R
LF1201	18.4	right	7	E	R
LF1201	15.9	left	7.1	E	R
LR1305	21.8	left	7.2	F	R
LR1305	21.3	right	7.3	F	R
MB1301	19.2	left	7	E	R
MB1301	19.2	left	7	E	R
MD0301	16.87	right	8	F	R
MG1011	18.3	left	7.1	F	L
MG1011	18.8	left	7	F	L
MP0501	17	left	8	F	R
MP0501	20	right	7	F	R
MP0501	18	right	8	F	R
MP0501	19	left	7	F	R
MS0706	20.5	left	7.9	F	R
MS0706	20.4	left	8	F	R
MS1510	18.3	left	6.4	F	R
MT2703	16.5	right	5.1	E	R
MT2703	16.4	right	5	E	R
MT2703	16.5	right	5.1	E	R
MT2703	16.4	right	5	E	R
NB0508	19.5	right	7.9	F	R
NB0508	19.6	right	8	F	R
NB1905	18.9	right	6	E	R
NB1905	18	right	6.5	E	R
NB1905	18.3	right	6.1	E	R
NB2709	20.2	left	8.1	F	R
ND0405	21.4	right	6.8	F	R
ND0405	21.4	right	6.9	F	R
nd2311	17.8	right	7.2	E	R
nd2311	17.8	right	7.2	E	R
ND2407	18	right	7.9	F	R
ND2407	17.9	right	8.1	F	R
ND2407	16.8	right	7.6	F	R
NL1502	16.6	right	7.7	E	R
NT3003	19.4	left	6.6	F	R
NT3003	18.7	left	6.4	F	R
OD2304	17.7	left	7.6	E	R
OD2304	18.4	right	7	F	R
OD2304	17.8	left	6	F	R
phb13	16.5	left	8	F	R
phb13	16.4	right	7.1	F	R
phb13	16.4	left	8.1	F	R
PJ1709	15.9	right	5.2	F	R
PJ1709	15.9	right	5.1	F	R
PMK2906	16.7	right	7	F	R
PMK2906	17.4	right	6.95	F	R
RA0893	15.5	right	5.6	I	R
RA0893	15.5	right	5.6	I	R
RA0893	16.3	right	6.8	I	R
RA2893	16.3	right	6.8	I	R
RCS1405	19.4	left	5.1	H	R
RCS1405	21.3	right	6	H	R
RD5993	18.5	left	6.6	I	R
RD5993	18.6	left	6.2	I	R
RD5993	18.5	left	5.8	I	R
RD5993	18.2	left	6.5	I	R
RD5993	18.5	left	6.6	I	R
RD5993	18.6	left	6.2	I	R
RD5993	18.5	left	5.8	I	R
RD5993	18.2	left	6.5	I	R
RG0101	21.6	right	6.3	I	R
RG0101	20.5	right	5.7	I	R
RG0101	21.6	right	6.3	I	R
RG0101	20.5	right	5.7	I	R
RJC2211	20.3	left	7	H	A
RM1993	19.2	right	6.6	I	R
RM1993	19.2	right	6.6	I	R
RR2505	20.7	left	8.9	H	L
RR2505	21.8	right	7	H	L
SB0709	16	right	6	H	R
SB1594	20.9	right	6.8	H	L
SE0602	19.3	left	6.9	H	R
SE0602	18.4	left	7.4	H	R
SE1416	18.7	left	6.9	H	R
SG1507	14	left	8.6	I	L
SG1507	14.5	right	7.9	I	L
SG1507	14	left	8.6	I	L
SG1507	14.5	right	7.9	I	L
SG2912	18.9	right	7.4	H	R
SG2912	21.3	right	6.9	H	R
SL2010	21.88	left	8.05	H	R
SM2407	16.4	left	5.6	I	R
SM2407	16.4	left	5.6	I	R
sr3316	17.8	left	5.2	I	R
sr3316	17.8	left	5.2	I	R
TB2109	16.7	right	9	I	R
TB2109	19.8	left	6.8	I	R
TB2109	19.6	right	6.7	I	R
TB2109	16.7	right	9	I	R
TB2109	19.8	left	6.8	I	R
TB2109	19.6	right	6.7	I	R
TL1012	17.9	left	6.3	H	R
VC1203	14	right	7.8	I	R
VC1203	14.9	right	8	I	R
VC1203	16.5	right	7.7	I	R
WSN1912	16.3	right	6.7	I	R
WSN1912	15.9	right	6.4	I	R
WSN1912	16.3	right	6.7	I	R
WSN1912	15.9	right	6.4	I	R
WZ0709	17.7	left	5.1	I	R
WZ0709	17.7	left	5.1	I	R
Y.CHEIF0202	18.1	left	7.5	H	A
Y.CHEIF0202	19.2	right	7.6	H	A
