# >> Output from NodeLinkage.pl <<
# >> Input file 1: "-Z-WMarkov-NormPairs_Real_Taxons_FunGroups.resampled.byabundance.dat
# >> Input file 2: "-Z-WMarkov-NormPairs_Real_Taxons_FunGroups.resampled.byabundance.dat
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 213
# >> Running at date:  (mm,dd,yy) 7, 5, 2016, and time: 22:41:54,
# >> Silwood Park, Imperial College London, A.P-G.
# 
# >>1Node,  2ClusterId
# Partitions at Step/Threshold: 213 0.270629802455021
"bacillus.benzoevorans"	40
"bacillus.polygonumi"	40
"escherichia.coli"	41
"malikia.spp."	42
"tepidimonas.spp."	42
"edaphobacter.spp."	43
"acidobacteriaceae"	43
"sandarakinorhabdus.spp."	43
"paenibacillus.spp."	44
"actinobacteria..class."	45
"pleomorphomonas.spp."	46
"arthrobacter.spp."	47
"arthrobacter.sulfureus"	47
"arthrobacter.protophormiae"	47
"renibacterium.salmoninarum"	48
"arthrobacter.sp."	48
"burkholderia.ubonensis"	49
"roseococcus.spp."	50
"chitinophaga.flexibacter.sancti"	50
"ruminococcus.spp."	51
"bradyrhizobium.elkanii"	52
"acinetobacter.towneri"	53
"acinetobacter.genomosp..3"	53
"acinetobacter.lwoffii"	53
"pasteurella.pneumotropica"	54
"actinomyces.viscosus"	54
"sorangiineae"	55
"xiphinematobacteraceae"	55
"methylocystis"	55
"rhodopseudomonas.spp."	56
"chryseobacterium.soldanellicola"	56
"pedobacter.rhizospharae"	56
"pedobacter.aquatilis"	56
"pedobacter.wanjuense"	56
"pedobacter.spp."	56
"epilithonimonas.lactis"	56
"pedobacter"	56
"pedobacter.koreensis"	56
"chryseobacterium.gregarium"	56
"pedobacter.insulae"	56
"pedobacter.cryoconitis"	56
"mucilaginibacter.spp."	56
"brevundimonas.bullata"	57
"shinella.spp."	58
"rhizobium"	58
"rhizobium.cellulosilyticus"	58
"singulisphaera.spp."	59
"escherichia_shigella.spp."	60
"pantoea.vagens"	60
"pantoea.agglomerans"	60
"erwinia.persicina"	60
"serratia.liquefaciens"	60
"trabulsiella.spp."	60
"cedecea.spp."	60
"citrobacter.werkmanii"	60
"erwinia.rhapontici"	60
"erwinia"	60
"clostridiaceae"	61
"pandoraea.spp."	62
"burkholderia.sediminicola"	62
"burkholderia.xenovorans"	62
"burkholderia.sordidicola"	62
"undibacterium.spp."	63
"ferritrophicum.spp."	63
"pseudomonadales"	63
"cellulosimicrobium.terreum"	64
"sanguibacter.inulinus"	64
"acidobacterium.spp."	65
"xanthomonas.vesicatoria"	66
"xanthomonas.oryzae"	66
"sphingomonas.yabuuchiae"	67
"sphingobium.spp."	67
"clostridium.saccharobutylicum"	68
"bacteroidetes"	69
"paucimonas.spp."	70
"herbaspirillum.rubrisubalbicans"	70
